nome,sigla,superior.sigla,unidade_organizacional.nome,is_siape,total_servidores
INSTITUTO FEDERAL DA PARAIBA,IFPB,,REITORIA,True,0
INSTITUTO FEDERAL DA PARAIBA,IFPB,,,False,2490
REITORIA DO IFPB,REITOR-RE,IFPB,REITORIA,True,0
REITORIA DO IFPB,REITORIA,IFPB,REITORIA,False,2490
CHEFIA GABINETE-RE,CG-RE,IFPB,REITORIA,True,0
GABINETE-REITORIA - REITORIA,GAB-RE,REITORIA,REITORIA,False,9
PRO-REITORIA DE ENSINO-RE,PREN-RE,IFPB,REITORIA,True,0
PRÓ-REITORIA DE ENSINO,PRE-RE,REITORIA,REITORIA,False,59
PRO-REITORIA EXTENSAO E CULTURA-RE,PROEXC-RE,IFPB,REITORIA,True,0
PRÓ-REITORIA DE EXTENSÃO E CULTURA,PROEXC-RE,REITORIA,REITORIA,False,14
PRO-REITORIA PESQ.INOV.POS-GRADUACAO-RE,PROPIPG-RE,IFPB,REITORIA,True,0
"PRÓ-REITORIA PESQUISA, INOVAÇÃO PÓS-GRADUAÇÃO - REITORIA",PRPIPG-RE,REITORIA,REITORIA,False,16
PRO-REITORIA ADMINISTRACAO FINANCAS-RE,PRAF-RE,IFPB,REITORIA,True,0
PRÓ-REITORIA DE ADMINISTRAÇÃO E FINANÇAS,PRAF-RE,REITORIA,REITORIA,False,54
DIR PLAN DES INSTITUCIONAL-RE,DPDI-RE,REITOR-RE,REITORIA,True,0
AUDITORIA INTERNA GERAL-RE,AUDIGE-RE,IFPB,REITORIA,True,0
AUDITORIA INTERNA GERAL - REITORIA,AUDI-GE-RE,REITORIA,REITORIA,False,7
PROCURADORIA FEDERAL-RE,PROJUR-RE,IFPB,REITORIA,True,0
PROCURADORIA FEDERAL - REITORIA,PF-RE,REITORIA,REITORIA,False,6
DIR. GERAL CAMPUS JOAO PESSOA,DG-JP,IFPB,CAMPUS JOAO PESSOA,True,0
CAMPUS JOAO PESSOA,CAMPUS-JP,REITORIA,CAMPUS JOÃO PESSOA,False,637
CHEFIA GABINETE CAMPUS JOAO PESSOA,CGDG-JP,DG-JP,CAMPUS JOAO PESSOA,True,0
DIR. DESENVOLVIMENTO ENSINO-JP,DDE-JP,DG-JP,CAMPUS JOAO PESSOA,True,0
DIR. ADM. PLAN FINANCAS-JP,DAPF-JP,DG-JP,CAMPUS JOAO PESSOA,True,0
DIR. GERAL CAMPUS CAMPINA GRANDE,DG-CG,IFPB,CAMPUS CAMPINA GRANDE,True,0
CAMPUS CAMPINA GRANDE,CAMPUS-CG,REITORIA,CAMPUS CAMPINA GRANDE,False,260
DIRETORIA DE PESQUISA INSTITUCIONAL-RE,DPESQ-RE,IFPB,REITORIA,True,0
GABINETE - CAMPUS CAMPINA GRANDE,GAB-CG,DG-CG,CAMPUS CAMPINA GRANDE,False,1
DIR. DESENVOLVIMENTO ENSINO-CG,DDE-CG,DG-CG,CAMPUS CAMPINA GRANDE,True,0
DIRETORIA DE DESENVOLVIMENTO DO ENSINO DO CAMPUS CAMPINA GRANDE,DDE-CG,DG-CG,CAMPUS CAMPINA GRANDE,False,216
DIR. ADM. PLANEJAMENTO FINANCAS-CG,DAPF-CG,DG-CG,CAMPUS CAMPINA GRANDE,True,0
"DIRETORIA DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS DO CAMPUS  CAMPINA GRANDE",DAPF-CG,DG-CG,CAMPUS CAMPINA GRANDE,False,22
DIR. GERAL DO CAMPUS SOUSA,DG-SS,IFPB,CAMPUS SOUSA,True,0
CAMPUS SOUSA,CAMPUS-SS,REITORIA,CAMPUS SOUSA,False,197
CHEFIA DE GABINETE DO CAMPUS SOUSA,CGDG-SS,DG-SS,CAMPUS SOUSA,True,0
GABINETE-CAMPUS SOUSA,GAB-SS,DG-SS,CAMPUS SOUSA,False,5
DIR. DESENVOLVIMENTO ENSINO-SS,DDE-SS,DG-SS,CAMPUS SOUSA,True,0
DIRETORIA DE DESENVOLVIMENTO DO ENSINO DO CAMPUS SOUSA,DDE-SS,DG-SS,CAMPUS SOUSA,False,158
DIR. ADM. E PLANEJAMENTO-SS,DAP-SS,DG-SS,CAMPUS SOUSA,True,0
"DIRETORIA  DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS DO CAMPUS SOUSA",DAP-SS,DG-SS,CAMPUS SOUSA,False,31
DIR. GERAL CAMPUS CABEDELO,DG-CB,IFPB,CAMPUS CABEDELO,True,0
CAMPUS CABEDELO,CAMPUS-CB,REITORIA,CAMPUS CABEDELO,False,120
DIR. CENTRO REF.PESCA NAV MARITIMA-RE,CRPNM-RE,REITOR-RE,REITORIA,True,0
GABINETE DA DIREÇÃO GERAL DO CAMPUS CABEDELO,GAB-CB,DG-CB,CAMPUS CABEDELO,False,1
DIR. DESENVOLVIMENTO ENSINO-CB,DDE-CB,DG-CB,CAMPUS CABEDELO,True,0
DIRETORIA DE DESENVOLVIMENTO DO ENSINO DO CAMPUS CABEDELO,DDE-CB,DG-CB,CAMPUS CABEDELO,False,102
DIR. ADM. PLANEJAMENTO FINANCAS-CB,DAPF-CB,DG-CB,CAMPUS CABEDELO,True,0
"DIRETORIA DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS DO CAMPUS CABEDELO",DAPF-CB,DG-CB,CAMPUS CABEDELO,False,11
